,The year of the disaster,The country ship belongs to,The name of the ship,Number of deaths
0,1987,Philippines,Dona Paz,4386
1,1948,China,Kiangya,2750
2,1917,Canada,Mont Blanc,1950
3,1912,UK,RMS Titanic,1517
4,1949,China,Taiping,1500
5,1954,Japan,Toya Maru,1153
6,1914,Canada,RMS Empress of Ireland,1012
7,1904,USA,General Slocum,1021
8,1912,Japan,Kiche Maru,1000
9,1921,Singapore,Hong Moh,1000
10,1927,Japan,Wusung,900
11,1994,Estonia,Estonia,852
12,1915,USA,Eastland,845
13,1996,Tanzania,Bukoba,800
14,1939,Soviet Union,Indigirka,741
15,1902,UK,Camorta,737
16,1914,UK,HMS Bulwark,736
17,1904,Denmark,Norge,635
18,1947,India,Ramdas,625
19,1955,Soviet Union,Novorossiysk,608
20,1947,USA,Grandcamp,581
21,1981,Indonesia,Tamponas II,580
22,1920,France,SS Afrique,568
23,1993,Haiti,Ferry Neptune,520
24,1986,Bangladesh,Shamia,510
25,1919,Spain,Valbanera,488
26,2000,Indonesia,Cahaya Bahari,481
27,1991,Egypt,Salem Express,470
28,1926,Spain,Principe de Asturias,445
29,1975,China,Hongxing 245/240,432
30,1986,Soviet Union,Admiral Nakhimov,423
31,1988,India,Unnamed passenger ship,400
32,1988,Philippines,Dona Marilyn,389
33,1999,Indonesia,KM Bismas Raya 2,361
34,1918,USA,Princess Sophia,343
35,1970,South Korea,Namyoung-ho,326
36,1904,Japan,Yoshino,319
37,1927,Italy,Principessa Mafalda,314
38,1999,China,Dashun,314
39,1999,Indonesia,Harta Rimba,313
40,1911,France,Liberte,300
41,1981,,Sobral Santos ll,300
42,1906,Italy,Sirio,293
43,1993,South Korea,Seohae Ferry,292
44,1996,Malta,F174,283
45,1958,Turkey,Uskudar,272
46,1994,Kenya,Likoni Ferry,272
47,1928,Chile,Angamos,262
48,1996,Indonesia,Gurita,260
49,1913,USA,,255
50,1961,UK,Dara,238
51,1966,Greece,Heraklion,234
52,1970,Saint Christopher - Nevis-Anguilla,MV Christena,233
53,1953,South Korea,Changgyeong,229
54,1921,Russian SFSR,Sovnarkom,225
55,1906,Brazil,Aquidaba,212
56,1909,UK,Waratah,211
57,1908,Japan,Matsushima,206
58,1919,UK,Iolaire,205
59,1988,Bangladesh,Haisal,200
60,1987,UK,Herald of Free Enterprise,193
61,1983,Soviet Union,Aleksandr Suvorov,177
62,1980,Philippines,Don Juan,176
63,1952,USA,USS Hobson,176
64,1914,Newfoundland,Southern Cross,173
65,1955,Japan,Shiun Maru,166
66,1990,Denmark,Scandinavian Star,159
67,1998,Philippines,Princess of the Orient,151
68,1907,USA,Larchmont,150
69,1912,UK,Koombana,150
70,1989,Romania,Mogosoaia,150
71,1950,Soviet Union,Majakovskis Riga,147
72,1994,Philippines,Cebu City,140
73,1991,Italy,Moby Prince,140
74,1934,USA,Morro Castle,137
75,1929,Finland,Kuru,136
76,1901,USA,City of Rio de Janeiro,135
77,1953,UK,Princess Victoria,133
78,1957,Germany,Pamir,132
79,1913,Canada,Volturno,130
80,1963,USA,USS Thresher,129
81,1963,Greece,TSMS Lakonia,128
82,1907,UK,Berlin,128
83,1905,UK,Hilda,125
84,1911,Australia,Yongala,122
85,1973,Malaysia,Pulau Kidjang,121
86,1907,France,Iena,120
87,1908,Malta,Sardinia,118
88,2000,Russia,K-141 Kursk,118
89,1949,Canada,Noronic,118
90,1906,USA,Valencia,117
91,1928,UK,Vestris,110
92,1908,USA,Star of Bengal,110
93,1940,Italy,Orazio,108
94,1946,Soviet Union,Dalstroy,105
95,1954,USA,USS Bennington,103
96,1939,UK,HMS Thetis,99
97,1968,USA,USS Scorpion,99
98,1933,Soviet Union,,98
99,1959,Denmark,Hans Hedtoft,95
100,1911,France,SS Emir,95
101,1918,Newfoundland,Florizel,94
102,1989,Thailand,Seacrest,91
103,1916,UK,Connemara,90
104,1965,Panama,Yarmouth Castle,90
105,1907,USA,Columbia,88
106,1922,Mexico,Topolobampo,86
